Danish,English,PartOfSpeech,Example,Tags,frequency_rank,count,normalized_frequency
og,,,,danish::news_top_500,1,2274,0.048320265187735065
i,,,,danish::news_top_500,2,1728,0.03671830177854274
til,,,,danish::news_top_500,3,1112,0.023628907163043708
for,,,,danish::news_top_500,4,1090,0.023161428783918744
på,,,,danish::news_top_500,5,973,0.020675293767663246
at,,,,danish::news_top_500,6,927,0.01969783897494741
af,,,,danish::news_top_500,7,903,0.019187862561356538
med,,,,danish::news_top_500,8,815,0.017317949044856677
er,,,,danish::news_top_500,9,797,0.01693546673466352
en,,,,danish::news_top_500,10,765,0.016255498183209028
om,,,,danish::news_top_500,11,587,0.012473173115743396
det,,,,danish::news_top_500,12,499,0.010603259599243535
skal,,,,danish::news_top_500,13,487,0.0103482713924481
der,,,,danish::news_top_500,14,471,0.010008287116720851
den,,,,danish::news_top_500,15,430,0.00913707741016978
ny,,,,danish::news_top_500,16,425,0.009030832324005015
har,,,,danish::news_top_500,17,425,0.009030832324005015
fra,,,,danish::news_top_500,18,425,0.009030832324005015
de,,,,danish::news_top_500,19,411,0.008733346082743672
som,,,,danish::news_top_500,20,336,0.0071396697902722
et,,,,danish::news_top_500,21,312,0.006629693376681328
nu,,,,danish::news_top_500,22,308,0.006544697307749516
kan,,,,danish::news_top_500,23,307,0.006523448290516563
nye,,,,danish::news_top_500,24,305,0.006480950256050657
elever,,,,danish::news_top_500,25,281,0.005970973842459786
regeringen,,,,danish::news_top_500,26,262,0.00556724251503368
skoler,,,,danish::news_top_500,27,199,0.004228554429357642
børn,,,,danish::news_top_500,28,198,0.004207305412124689
viser,,,,danish::news_top_500,29,192,0.004079811308726971
flere,,,,danish::news_top_500,30,187,0.003973566222562206
år,,,,danish::news_top_500,31,177,0.003761076050232677
unge,,,,danish::news_top_500,32,169,0.003591083912369053
dagtilbud,,,,danish::news_top_500,33,156,0.003314846688340664
undervisningsministeriet,,,,danish::news_top_500,34,138,0.0029323643781475105
ikke,,,,danish::news_top_500,35,131,0.00278362125751684
vil,,,,danish::news_top_500,36,130,0.002762372240283887
blandt,,,,danish::news_top_500,37,126,0.002677376171352075
nyt,,,,danish::news_top_500,38,123,0.002613629119653216
aftale,,,,danish::news_top_500,39,117,0.0024861350162554982
folkeskolen,,,,danish::news_top_500,40,117,0.0024861350162554982
undervisning,,,,danish::news_top_500,41,116,0.0024648859990225452
mere,,,,danish::news_top_500,42,109,0.002316142878391874
over,,,,danish::news_top_500,43,109,0.002316142878391874
anbefalinger,,,,danish::news_top_500,44,103,0.0021886487749941566
kommuner,,,,danish::news_top_500,45,100,0.0021249017232952976
deres,,,,danish::news_top_500,46,99,0.0021036527060623446
efter,,,,danish::news_top_500,47,96,0.0020399056543634855
får,,,,danish::news_top_500,48,96,0.0020399056543634855
erhvervsuddannelserne,,,,danish::news_top_500,49,94,0.0019974076198975795
styrke,,,,danish::news_top_500,50,91,0.0019336605681987207
alle,,,,danish::news_top_500,51,90,0.0019124115509657677
kroner,,,,danish::news_top_500,52,89,0.001891162533732815
undervisningsområdet,,,,danish::news_top_500,53,89,0.001891162533732815
række,,,,danish::news_top_500,54,86,0.001827415482033956
få,,,,danish::news_top_500,55,85,0.001806166464801003
klar,,,,danish::news_top_500,56,85,0.001806166464801003
kvalitet,,,,danish::news_top_500,57,84,0.00178491744756805
millioner,,,,danish::news_top_500,58,83,0.001763668430335097
styrelsen,,,,danish::news_top_500,59,83,0.001763668430335097
tiltag,,,,danish::news_top_500,60,83,0.001763668430335097
undervisningsministeren,,,,danish::news_top_500,61,82,0.0017424194131021441
ved,,,,danish::news_top_500,62,79,0.001678672361403285
landets,,,,danish::news_top_500,63,79,0.001678672361403285
klasse,,,,danish::news_top_500,64,77,0.001636174326937379
end,,,,danish::news_top_500,65,76,0.001614925309704426
andet,,,,danish::news_top_500,66,76,0.001614925309704426
være,,,,danish::news_top_500,67,75,0.0015936762924714733
bliver,,,,danish::news_top_500,68,75,0.0015936762924714733
hvordan,,,,danish::news_top_500,69,74,0.0015724272752385203
bedre,,,,danish::news_top_500,70,74,0.0015724272752385203
eller,,,,danish::news_top_500,71,73,0.0015511782580055673
gang,,,,danish::news_top_500,72,73,0.0015511782580055673
institutioner,,,,danish::news_top_500,73,72,0.0015299292407726143
dansk,,,,danish::news_top_500,74,69,0.0014661821890737553
lærere,,,,danish::news_top_500,75,69,0.0014661821890737553
flertal,,,,danish::news_top_500,76,68,0.0014449331718408025
danmark,,,,danish::news_top_500,77,67,0.0014236841546078495
marts,,,,danish::news_top_500,78,66,0.0014024351373748965
mulighed,,,,danish::news_top_500,79,65,0.0013811861201419434
mod,,,,danish::news_top_500,80,64,0.0013599371029089904
arbejde,,,,danish::news_top_500,81,64,0.0013599371029089904
hvor,,,,danish::news_top_500,82,64,0.0013599371029089904
sikre,,,,danish::news_top_500,83,64,0.0013599371029089904
op,,,,danish::news_top_500,84,64,0.0013599371029089904
uddannelsesinstitutioner,,,,danish::news_top_500,85,63,0.0013386880856760374
derfor,,,,danish::news_top_500,86,61,0.0012961900512101316
blevet,,,,danish::news_top_500,87,60,0.0012749410339771786
trivsel,,,,danish::news_top_500,88,60,0.0012749410339771786
folkeskolens,,,,danish::news_top_500,89,60,0.0012749410339771786
sig,,,,danish::news_top_500,90,59,0.0012536920167442256
blev,,,,danish::news_top_500,91,57,0.0012111939822783196
