Danish,English,PartOfSpeech,Example,Tags
Danmark,Denmark,,,danish::history_culture_politics
Europa,Europe,,,danish::history_culture_politics
København,Copenhagen,,,danish::history_culture_politics
afhænge af,to depend on,,,danish::history_culture_politics
aftale,agreement,,,danish::history_culture_politics
alle,all,,,danish::history_culture_politics
allerede,already,,,danish::history_culture_politics
alligevel,nevertheless,,,danish::history_culture_politics
almindeligvis,generally,,,danish::history_culture_politics
altid,always,,,danish::history_culture_politics
ansvar,responsibility,,,danish::history_culture_politics
arbejde,work,,,danish::history_culture_politics
arbejder,worker,,,danish::history_culture_politics
arbejdsplads,workplace,,,danish::history_culture_politics
arkitektur,architecture,,,danish::history_culture_politics
arv,heritage,,,danish::history_culture_politics
befolkning,population,,,danish::history_culture_politics
begynde,to begin,,,danish::history_culture_politics
beskrive,to describe,,,danish::history_culture_politics
beskytte,to protect,,,danish::history_culture_politics
beslutning,decision,,,danish::history_culture_politics
bestå af,to consist of,,,danish::history_culture_politics
besættelse,occupation,,,danish::history_culture_politics
betyde,to mean,,,danish::history_culture_politics
betydeligt,significantly,,,danish::history_culture_politics
betydning,importance,,,danish::history_culture_politics
bevare,to preserve,,,danish::history_culture_politics
blandt andet,among other things,,,danish::history_culture_politics
blive,to become,,,danish::history_culture_politics
bo,to live,,,danish::history_culture_politics
bolig,housing,,,danish::history_culture_politics
borger,citizen,,,danish::history_culture_politics
bruge,to use,,,danish::history_culture_politics
brød,bread,,,danish::history_culture_politics
by,city,,,danish::history_culture_politics
bygge,to build,,,danish::history_culture_politics
bæredygtighed,sustainability,,,danish::history_culture_politics
børn,children,,,danish::history_culture_politics
debat,debate,,,danish::history_culture_politics
deltage,to participate,,,danish::history_culture_politics
delvist,partly,,,danish::history_culture_politics
demokrati,democracy,,,danish::history_culture_politics
derfor,therefore,,,danish::history_culture_politics
dermed,thereby,,,danish::history_culture_politics
design,design,,,danish::history_culture_politics
desuden,furthermore,,,danish::history_culture_politics
digt,poem,,,danish::history_culture_politics
direkte,directly,,,danish::history_culture_politics
dog,however,,,danish::history_culture_politics
dronning,queen,,,danish::history_culture_politics
efter,after,,,danish::history_culture_politics
eksempelvis,for example,,,danish::history_culture_politics
elev,student,,,danish::history_culture_politics
ellers,otherwise,,,danish::history_culture_politics
energi,energy,,,danish::history_culture_politics
engang,once,,,danish::history_culture_politics
erfaring,experience,,,danish::history_culture_politics
fagforening,labor union,,,danish::history_culture_politics
faktisk,actually,,,danish::history_culture_politics
familie,family,,,danish::history_culture_politics
festival,festival,,,danish::history_culture_politics
film,film,,,danish::history_culture_politics
flag,flag,,,danish::history_culture_politics
flere,more,,,danish::history_culture_politics
flertal,majority,,,danish::history_culture_politics
flygtning,refugee,,,danish::history_culture_politics
folketing,parliament,,,danish::history_culture_politics
forbedre,to improve,,,danish::history_culture_politics
fordi,because,,,danish::history_culture_politics
foreslå,to propose,,,danish::history_culture_politics
forfatter,author,,,danish::history_culture_politics
forhindre,to prevent,,,danish::history_culture_politics
forhold,condition,,,danish::history_culture_politics
forklare,to explain,,,danish::history_culture_politics
forskning,research,,,danish::history_culture_politics
forstå,to understand,,,danish::history_culture_politics
fortid,past,,,danish::history_culture_politics
fortsat,still,,,danish::history_culture_politics
forvente,to expect,,,danish::history_culture_politics
fred,peace,,,danish::history_culture_politics
fremhæve,to highlight,,,danish::history_culture_politics
fremtid,future,,,danish::history_culture_politics
frihed,freedom,,,danish::history_culture_politics
fællesskab,community,,,danish::history_culture_politics
før,before,,,danish::history_culture_politics
ganske,quite,,,danish::history_culture_politics
generation,generation,,,danish::history_culture_politics
generelt,generally,,,danish::history_culture_politics
globalt,globally,,,danish::history_culture_politics
grænse,border,,,danish::history_culture_politics
gælde,to apply,,,danish::history_culture_politics
gøre,to do,,,danish::history_culture_politics
handel,trade,,,danish::history_culture_politics
handle om,to concern,,,danish::history_culture_politics
hav,sea,,,danish::history_culture_politics
